1,고혈압,두통이 가끔씩 찾아와요
2,고혈압,심장이 두근거릴 때가 많아요
3,고혈압,호흡이 가끔씩 곤란해져요
4,고혈압,두통이 심해지면 집중하기 힘들어요
5,고혈압,가끔씩 심장이 빠르게 뛰어요
6,고혈압,숨쉬기가 갑자기 어려워질 때가 있어요
7,고혈압,두통이 있어서 일을 못 할 때가 있어요
8,고혈압,가끔씩 심장이 두근거려서 불안해요
9,고혈압,호흡이 힘들어지는 순간이 있어요
10,고혈압,두통이 간헐적으로 찾아와요
11,고혈압,심장이 갑자기 두근거려서 놀랄 때가 있어요
12,고혈압,호흡이 잘 안 될 때가 있어요
13,고혈압,두통이 나면 아무것도 못 해요
14,고혈압,심장이 갑자기 빠르게 뛰어요
15,고혈압,가끔씩 숨쉬기가 힘들어요
16,고혈압,두통이 찾아오면 머리가 무거워요
17,고혈압,심장이 두근거려서 잠을 못 자요
18,고혈압,호흡이 가끔 어려워져요
19,고혈압,두통이 나면 눈앞이 흐려져요
20,고혈압,심장이 두근거릴 때마다 불안해요
21,고혈압,가끔씩 숨이 막힐 것 같아요
22,고혈압,두통이 가끔씩 심해져요
23,고혈압,심장이 빨리 뛰는 느낌이 들어요
24,고혈압,숨쉬기가 어렵게 느껴질 때가 있어요
25,고혈압,두통이 나서 일에 집중하기 어려워요
26,고혈압,심장이 두근거려서 불안해요
27,고혈압,호흡이 가끔 힘들어져요
28,고혈압,두통이 가끔씩 찾아와서 괴로워요
29,고혈압,심장이 두근거려서 잠을 설쳐요
30,고혈압,가끔씩 숨쉬기가 힘들어져요
31,고혈압,두통이 나면 일상이 힘들어요
32,고혈압,심장이 빠르게 뛰는 것 같아요
33,고혈압,숨쉬기가 어렵게 느껴져서 걱정이에요
34,고혈압,두통이 가끔씩 심해져서 힘들어요
35,고혈압,심장이 두근거려서 일에 집중하기 힘들어요
36,고혈압,가끔씩 호흡이 잘 안 돼요
37,고혈압,두통이 나면 아무것도 못 해요
38,고혈압,심장이 빠르게 뛰어서 불안해요
39,고혈압,숨쉬기가 어렵게 느껴질 때가 자주 있어요
40,고혈압,두통이 간헐적으로 찾아와서 힘들어요
41,고혈압,심장이 두근거려서 잠이 잘 안 와요
42,고혈압,가끔씩 숨쉬기가 힘들어져서 걱정이에요
43,고혈압,두통이 심해지면 눈앞이 흐려져요
44,고혈압,심장이 두근거려서 불편해요
45,고혈압,호흡이 가끔 어려워져서 걱정이에요
46,고혈압,두통이 나서 생활이 힘들어요
47,고혈압,심장이 빠르게 뛰는 느낌이 자주 들어요
48,고혈압,숨쉬기가 어려워지는 순간이 있어요
49,고혈압,두통이 간헐적으로 찾아와서 일하기 힘들어요
50,고혈압,심장이 두근거려서 마음이 불안해요
51,고혈압,가끔씩 호흡이 잘 안 돼서 걱정이에요
52,고혈압,두통이 가끔씩 찾아와서 괴로워요
53,고혈압,심장이 두근거려서 잠을 못 자요
54,고혈압,호흡이 가끔 힘들어져서 걱정이에요
55,고혈압,두통이 나서 생활이 불편해요
56,고혈압,심장이 갑자기 빠르게 뛰어서 놀랄 때가 있어요
57,고혈압,가끔씩 숨쉬기가 힘들어져서 불안해요
58,고혈압,두통이 간헐적으로 찾아와서 일상이 힘들어요
59,고혈압,심장이 두근거려서 마음이 불편해요
60,고혈압,호흡이 잘 안 될 때마다 불안해요
61,고혈압,두통이 가끔씩 심해져서 괴로워요
62,고혈압,심장이 두근거려서 잠을 못 이루겠어요
63,고혈압,숨쉬기가 어려워질 때마다 걱정이에요
64,고혈압,두통이 심해지면 일상생활이 힘들어요
65,고혈압,심장이 빠르게 뛰는 것 같아서 걱정이에요
66,고혈압,가끔씩 숨쉬기가 어려워져요
67,고혈압,두통이 나서 아무것도 못 해요
68,고혈압,심장이 두근거려서 집중하기 힘들어요
69,고혈압,호흡이 가끔씩 어려워져서 걱정이에요
70,고혈압,두통이 가끔씩 심해져서 생활이 힘들어요
71,고혈압,심장이 두근거려서 잠이 안 와요
72,고혈압,가끔씩 숨이 막힐 것 같아서 불안해요
73,고혈압,두통이 나면 머리가 무거워요
74,고혈압,심장이 빠르게 뛰는 느낌이 들어서 불안해요
75,고혈압,숨쉬기가 어려워질 때마다 걱정이에요
76,고혈압,두통이 가끔씩 찾아와서 괴로워요
77,고혈압,심장이 두근거려서 잠을 잘 수가 없어요
78,고혈압,호흡이 가끔 힘들어져서 걱정이에요
79,고혈압,두통이 나서 아무것도 못 해요
80,고혈압,심장이 빠르게 뛰어서 불안해요
81,고혈압,가끔씩 숨쉬기가 어려워져요
82,고혈압,두통이 간헐적으로 찾아와서 힘들어요
83,고혈압,심장이 두근거려서 잠을 설쳐요
84,고혈압,호흡이 가끔씩 어려워져요
85,고혈압,두통이 심해지면 집중하기 힘들어요
86,고혈압,심장이 두근거려서 마음이 불안해요
87,고혈압,가끔씩 숨쉬기가 어려워서 걱정이에요
88,고혈압,두통이 간헐적으로 찾아와서 괴로워요
89,고혈압,심장이 두근거려서 잠을 잘 수가 없어요
90,고혈압,호흡이 가끔씩 힘들어져요
91,고혈압,두통이 나서 일상생활이 힘들어요
92,고혈압,심장이 빠르게 뛰는 것 같아서 불안해요
93,고혈압,가끔씩 숨쉬기가 어려워서 불안해요
94,고혈압,두통이 가끔씩 찾아와서 생활이 힘들어요
95,고혈압,심장이 두근거려서 마음이 불편해요
96,고혈압,호흡이 잘 안 될 때마다 걱정이에요
97,고혈압,두통이 간헐적으로 찾아와서 집중하기 힘들어요
98,고혈압,심장이 두근거려서 잠을 설쳐요
99,고혈압,가끔씩 숨쉬기가 어려워져서 불안해요
100,고혈압,두통이 나면 눈앞이 흐려져요